"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","Total Population","Average Family Income","   Unemployed","Break & Enters","Robberies","   Chinese","   Korean","   Japanese"
"Newtonbrook West",36.0,"N/A",23620.0,23831.0,66505.0,1050.0,55.0,14.0,2650.0,2210.0,100.0
"Willowdale West",37.0,"N/A",16670.0,16936.0,83632.0,845.0,35.0,14.0,3655.0,1930.0,145.0
"Lansing-Westgate",38.0,"N/A",16065.0,16164.0,105947.0,665.0,42.0,8.0,1740.0,875.0,70.0
"Bedford Park-Nortown",39.0,"N/A",23115.0,23236.0,161110.0,650.0,100.0,12.0,1030.0,195.0,65.0
"St.Andrew-Windfields",40.0,"N/A",17675.0,17812.0,162988.0,770.0,57.0,10.0,3845.0,820.0,145.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9185.0,9266.0,356777.0,360.0,51.0,1.0,1410.0,185.0,55.0
"Banbury-Don Mills",42.0,"N/A",26995.0,27695.0,115239.0,1010.0,55.0,12.0,4630.0,560.0,210.0
"Victoria Village",43.0,"N/A",17185.0,17510.0,65104.0,870.0,19.0,10.0,730.0,160.0,75.0
"Flemingdon Park",44.0,"N/A",21915.0,21933.0,55824.0,1050.0,14.0,19.0,1015.0,250.0,45.0
"Parkwoods-Donalda",45.0,"N/A",34730.0,34805.0,74645.0,1685.0,45.0,25.0,2875.0,580.0,225.0
"Pleasant View",46.0,"N/A",15805.0,15818.0,71782.0,810.0,32.0,13.0,5630.0,250.0,110.0
"Don Valley Village",47.0,"N/A",26825.0,27051.0,69884.0,1330.0,64.0,17.0,6960.0,835.0,135.0
"Hillcrest Village",48.0,"N/A",16915.0,16934.0,81484.0,660.0,33.0,9.0,8225.0,650.0,60.0
"Bayview Woods-Steeles",49.0,"N/A",12655.0,13154.0,88861.0,495.0,33.0,0.0,4360.0,710.0,70.0
"Newtonbrook East",50.0,"N/A",15530.0,16097.0,84163.0,710.0,41.0,7.0,4830.0,1920.0,70.0
"Willowdale East",51.0,"N/A",50255.0,50434.0,80607.0,2300.0,80.0,22.0,16980.0,5255.0,665.0
